tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_9A,20,0.9977351058591828,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_1A,20,0.9561792220580996,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MSB1_1A,20,0.9561792220580996,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MSB1_1A,20,0.9966518956179222,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9969473165928114,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.995864106351551,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.99123584441162,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9965534219596258,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.998030526834072,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9957656326932546,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9974396848842936,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9950763170851796,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9969473165928114,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9926144756277696,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9950763170851796,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9910388970950272,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9971442639094042,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9969473165928114,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9974396848842936,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MSB1_1A,20,0.9955686853766618,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9969473165928114,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9952732644017726,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9970457902511078,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9965534219596258,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9707533234859675,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.9859182668636141,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_1A,20,0.998030526834072,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_3B,20,0.956770064007878,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MSB1_3B,20,0.956770064007878,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MSB1_3B,20,0.9962580009847366,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9952732644017726,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9969473165928114,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9899556868537668,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9945839487936976,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9960610536681438,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.994682422451994,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9969473165928114,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9938946331856228,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.996356474643033,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9921221073362876,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9969473165928114,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.990743476120138,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9961595273264402,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.995174790743476,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.9969473165928114,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MSB1_3B,20,0.996848842934515,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_3B,20,0.995864106351551,H7,Snippy / H7 (CP010171.1)
